Team,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Northern Arizona,0.304,0.332,0.507,45.7,47.1,8.3,5.2,0.48,15.9,23.8,0.201
Northern Colorado,0.312,0.432,0.553,52.2,44.1,6.2,6.1,0.531,18.1,24.5,0.208
Northern Illinois,0.239,0.281,0.465,49.3,44.7,8.5,10.1,0.444,17,32.6,0.147
Northern Iowa,0.259,0.392,0.53,51.6,50.9,9.3,7.7,0.507,16.6,25.8,0.177
Northern Kentucky,0.278,0.396,0.534,50.8,44.8,9.6,4.6,0.506,15.7,34.9,0.196
Northwestern State,0.296,0.337,0.516,47.3,48.8,9.4,7.3,0.489,17,26.8,0.199
Northwestern,0.271,0.404,0.533,48.4,58,8.8,8,0.505,15.2,21.7,0.194
Notre Dame,0.259,0.434,0.569,47.7,57,6.3,9.6,0.539,14.2,22,0.2
Oakland,0.332,0.419,0.522,47.5,57.4,11.3,5,0.487,15.4,30,0.235
Ohio State,0.372,0.394,0.573,52,49.9,6.7,9.5,0.532,13.5,29.3,0.285
Ohio,0.298,0.385,0.581,50.9,60.1,9.4,6,0.558,14.7,28.8,0.209
Oklahoma State,0.363,0.319,0.555,52.1,47.7,9.8,11.1,0.521,18.7,31.9,0.259
Oklahoma,0.291,0.39,0.541,50,50,10.5,9.2,0.508,13.8,27.3,0.217
Old Dominion,0.316,0.3,0.523,51.5,47.4,10.9,11.5,0.492,16.2,28.1,0.219
Oral Roberts,0.273,0.466,0.582,47.5,44.8,8.7,9.6,0.545,14.1,23.8,0.225
Oregon State,0.34,0.351,0.539,50.2,59.8,9.1,9.9,0.497,14.7,30.1,0.258
Oregon,0.268,0.38,0.566,50.7,48.8,11,10.7,0.544,14.8,28.3,0.189
Pacific,0.276,0.285,0.508,51.7,48.6,9.1,10.3,0.481,14.8,28.9,0.188
Penn State,0.278,0.419,0.513,51.8,52.6,11.3,6.9,0.479,13.9,31.9,0.206
Pennsylvania,,,,,,,,,,,
Pepperdine,0.326,0.366,0.556,49.1,58.6,8.5,7.7,0.515,16.2,23.6,0.254
Pittsburgh,0.369,0.332,0.519,53.6,57.9,8.8,11.2,0.488,15.5,34.5,0.245
Portland State,0.327,0.387,0.49,52.2,46.4,11.7,8.7,0.455,16.5,32.4,0.222
Portland,0.359,0.38,0.525,42.4,51.2,8.6,7.9,0.476,17.4,18.7,0.278
Prairie View,0.27,0.361,0.524,49.4,58.7,13.6,12.2,0.503,16.8,30.9,0.177
Presbyterian,0.347,0.349,0.505,51.2,47.1,10.4,6.9,0.47,19.3,32.3,0.238
Princeton,,,,,,,,,,,
